topic,question,difficulty,explanation,choice_a,choice_b,choice_c,choice_d,choice_e,answer
Analytical Ability,"Liza starts facing East. Liza then turns left, then turns left (each turn is a 90-degree turn, no U-turns). Which direction is Liza now facing?",medium,Starting at East and applying each 90-degree turn in order results in facing West.,East,West,South,North,,B
Analytical Ability,"Liza starts facing West. Liza then turns right, then turns left, then turns right, then turns left (each turn is a 90-degree turn, no U-turns). Which direction is Liza now facing?",medium,Starting at West and applying each 90-degree turn in order results in facing West.,East,West,South,North,,B
Analytical Ability,"Liza starts facing East. Liza then turns right, then turns left, then turns right (each turn is a 90-degree turn, no U-turns). Which direction is Liza now facing?",medium,Starting at East and applying each 90-degree turn in order results in facing South.,East,North,South,West,,C
Analytical Ability,"Rosa starts facing East. Rosa then turns right, then turns left, then turns right (each turn is a 90-degree turn, no U-turns). Which direction is Rosa now facing?",medium,Starting at East and applying each 90-degree turn in order results in facing South.,North,South,East,West,,B
Analytical Ability,"Maria starts facing North. Maria then turns right, then turns right, then turns right, then turns right (each turn is a 90-degree turn, no U-turns). Which direction is Maria now facing?",medium,Starting at North and applying each 90-degree turn in order results in facing North.,West,South,East,North,,D
Analytical Ability,"Maria starts facing West. Maria then turns right, then turns right, then turns right, then turns right (each turn is a 90-degree turn, no U-turns). Which direction is Maria now facing?",medium,Starting at West and applying each 90-degree turn in order results in facing West.,North,South,East,West,,D
Analytical Ability,"Maria starts facing South. Maria then turns left, then turns left (each turn is a 90-degree turn, no U-turns). Which direction is Maria now facing?",medium,Starting at South and applying each 90-degree turn in order results in facing North.,North,South,West,East,,A
Analytical Ability,"If August 15 falls on a Wednesday, what day of the week will it be 49 days later?",hard,"49 days later is 49 mod 7 = 0 day(s) after Wednesday, which is Wednesday.",Sunday,Saturday,Wednesday,Thursday,,C
Analytical Ability,"If October 20 falls on a Thursday, what day of the week will it be 50 days later?",hard,"50 days later is 50 mod 7 = 1 day(s) after Thursday, which is Friday.",Friday,Monday,Wednesday,Saturday,,A
Analytical Ability,"If October 20 falls on a Tuesday, what day of the week will it be 52 days later?",hard,"52 days later is 52 mod 7 = 3 day(s) after Tuesday, which is Friday.",Sunday,Wednesday,Saturday,Friday,,D
Analytical Ability,"If October 20 falls on a Sunday, what day of the week will it be 39 days later?",hard,"39 days later is 39 mod 7 = 4 day(s) after Sunday, which is Thursday.",Saturday,Thursday,Tuesday,Monday,,B
Analytical Ability,"If October 20 falls on a Wednesday, what day of the week will it be 28 days later?",hard,"28 days later is 28 mod 7 = 0 day(s) after Wednesday, which is Wednesday.",Wednesday,Sunday,Monday,Friday,,A
Analytical Ability,"If June 10 falls on a Saturday, what day of the week will it be 59 days later?",hard,"59 days later is 59 mod 7 = 3 day(s) after Saturday, which is Tuesday.",Friday,Saturday,Tuesday,Sunday,,C
Analytical Ability,"If January 1 falls on a Monday, what day of the week will it be 56 days later?",hard,"56 days later is 56 mod 7 = 0 day(s) after Monday, which is Monday.",Monday,Saturday,Sunday,Thursday,,A
Analytical Ability,"If August 15 falls on a Friday, what day of the week will it be 21 days later?",hard,"21 days later is 21 mod 7 = 0 day(s) after Friday, which is Friday.",Wednesday,Saturday,Thursday,Friday,,D
Analytical Ability,"If March 5 falls on a Thursday, what day of the week will it be 23 days later?",hard,"23 days later is 23 mod 7 = 2 day(s) after Thursday, which is Saturday.",Wednesday,Saturday,Thursday,Friday,,B
Analytical Ability,"If March 5 falls on a Wednesday, what day of the week will it be 41 days later?",hard,"41 days later is 41 mod 7 = 6 day(s) after Wednesday, which is Tuesday.",Saturday,Tuesday,Wednesday,Friday,,B
Clerical Ability,"Arrange alphabetically: Orange, Quezon, Mango, Scanner. Which word comes third?",easy,"In alphabetical order: Mango, Orange, Quezon, Scanner. The third word is Quezon.",Orange,Mango,Quezon,Scanner,,C
Clerical Ability,"Arrange alphabetically: Memo, Eagle, Palawan, Punch. Which word comes third?",easy,"In alphabetical order: Eagle, Memo, Palawan, Punch. The third word is Palawan.",Memo,Eagle,Palawan,Punch,,C
Clerical Ability,"Arrange alphabetically: Laguna, Scanner, Iloilo, Manila. Which word comes third?",easy,"In alphabetical order: Iloilo, Laguna, Manila, Scanner. The third word is Manila.",Iloilo,Manila,Scanner,Laguna,,B
Clerical Ability,"Arrange alphabetically: Punch, Cabinet, Notebook, Leyte. Which word comes first?",easy,"In alphabetical order: Cabinet, Leyte, Notebook, Punch. The first word is Cabinet.",Punch,Leyte,Notebook,Cabinet,,D
Clerical Ability,"Arrange alphabetically: Quezon, Bulletin, Calendar, Notebook. Which word comes first?",easy,"In alphabetical order: Bulletin, Calendar, Notebook, Quezon. The first word is Bulletin.",Notebook,Bulletin,Calendar,Quezon,,B
Clerical Ability,"Arrange alphabetically: Cebu, Calculator, Cavite, Pigeon. Which word comes last?",easy,"In alphabetical order: Calculator, Cavite, Cebu, Pigeon. The last word is Pigeon.",Pigeon,Calculator,Cebu,Cavite,,A
Clerical Ability,"Arrange alphabetically: Samar, Drawer, Binder, Ledger. Which word comes first?",easy,"In alphabetical order: Binder, Drawer, Ledger, Samar. The first word is Binder.",Drawer,Ledger,Samar,Binder,,D
Clerical Ability,"Arrange alphabetically: Manila, Scissors, Pigeon, Falcon. Which word comes second?",easy,"In alphabetical order: Falcon, Manila, Pigeon, Scissors. The second word is Manila.",Manila,Scissors,Falcon,Pigeon,,A
Clerical Ability,"Arrange alphabetically: Envelope, Oriole, Scanner, Falcon. Which word comes first?",easy,"In alphabetical order: Envelope, Falcon, Oriole, Scanner. The first word is Envelope.",Falcon,Scanner,Oriole,Envelope,,D
Clerical Ability,"Arrange alphabetically: Pigeon, Orange, Leyte, Cebu. Which word comes first?",easy,"In alphabetical order: Cebu, Leyte, Orange, Pigeon. The first word is Cebu.",Cebu,Orange,Leyte,Pigeon,,A
Clerical Ability,"Arrange alphabetically: Binder, Cavite, Scanner, Mango. Which word comes first?",easy,"In alphabetical order: Binder, Cavite, Mango, Scanner. The first word is Binder.",Scanner,Binder,Cavite,Mango,,B
Clerical Ability,"Arrange alphabetically: Cabinet, Manila, Lychee, Papaya. Which word comes last?",easy,"In alphabetical order: Cabinet, Lychee, Manila, Papaya. The last word is Papaya.",Papaya,Cabinet,Lychee,Manila,,A
Clerical Ability,"Arrange alphabetically: Drawer, Mynah, Ballpen, Aklan. Which word comes last?",easy,"In alphabetical order: Aklan, Ballpen, Drawer, Mynah. The last word is Mynah.",Aklan,Mynah,Drawer,Ballpen,,B
Clerical Ability,"Arrange alphabetically: Ruler, Glue, Ballpen, Clipboard. Which word comes second?",easy,"In alphabetical order: Ballpen, Clipboard, Glue, Ruler. The second word is Clipboard.",Glue,Ruler,Ballpen,Clipboard,,D
Clerical Ability,"Arrange alphabetically: Receipt, Bulacan, Tarlac, Rambutan. Which word comes third?",easy,"In alphabetical order: Bulacan, Rambutan, Receipt, Tarlac. The third word is Receipt.",Receipt,Tarlac,Rambutan,Bulacan,,A
Clerical Ability,"Arrange alphabetically: Ruler, Scanner, Cabinet, Rambutan. Which word comes first?",easy,"In alphabetical order: Cabinet, Rambutan, Ruler, Scanner. The first word is Cabinet.",Cabinet,Ruler,Scanner,Rambutan,,A
Clerical Ability,"Arrange alphabetically: Tape, Printer, Calculator, Bataan. Which word comes first?",easy,"In alphabetical order: Bataan, Calculator, Printer, Tape. The first word is Bataan.",Calculator,Tape,Printer,Bataan,,D
Clerical Ability,"Arrange alphabetically: Cavite, Rooster, Quezon, Samar. Which word comes third?",easy,"In alphabetical order: Cavite, Quezon, Rooster, Samar. The third word is Rooster.",Samar,Rooster,Cavite,Quezon,,B
Clerical Ability,"Arrange alphabetically: Rambutan, Guava, Kingfisher, Calculator. Which word comes second?",easy,"In alphabetical order: Calculator, Guava, Kingfisher, Rambutan. The second word is Guava.",Guava,Kingfisher,Rambutan,Calculator,,A
Clerical Ability,"Arrange alphabetically: Quezon, Leyte, Organizer, Clipboard. Which word comes third?",easy,"In alphabetical order: Clipboard, Leyte, Organizer, Quezon. The third word is Organizer.",Organizer,Clipboard,Leyte,Quezon,,A
Clerical Ability,"Arrange alphabetically: Cebu, Ledger, Bataan, Ballpen. Which word comes third?",easy,"In alphabetical order: Ballpen, Bataan, Cebu, Ledger. The third word is Cebu.",Ledger,Cebu,Ballpen,Bataan,,B
Clerical Ability,"Arrange alphabetically: Invoice, Orange, Bookshelf, Scissors. Which word comes third?",easy,"In alphabetical order: Bookshelf, Invoice, Orange, Scissors. The third word is Orange.",Bookshelf,Invoice,Scissors,Orange,,D
Clerical Ability,"Arrange alphabetically: Invoice, Orange, Durian, Pomelo. Which word comes last?",easy,"In alphabetical order: Durian, Invoice, Orange, Pomelo. The last word is Pomelo.",Pomelo,Durian,Orange,Invoice,,A
Clerical Ability,"Arrange alphabetically: Orange, Durian, Oriole, Bookshelf. Which word comes last?",easy,"In alphabetical order: Bookshelf, Durian, Orange, Oriole. The last word is Oriole.",Orange,Oriole,Bookshelf,Durian,,B
Clerical Ability,"Arrange alphabetically: Scanner, Eagle, Manila, Bohol. Which word comes first?",easy,"In alphabetical order: Bohol, Eagle, Manila, Scanner. The first word is Bohol.",Manila,Bohol,Scanner,Eagle,,B
Clerical Ability,"Arrange alphabetically: Voucher, Memo, Eagle, Ledger. Which word comes second?",easy,"In alphabetical order: Eagle, Ledger, Memo, Voucher. The second word is Ledger.",Eagle,Memo,Ledger,Voucher,,C
Clerical Ability,"Arrange alphabetically: Bataan, Cabinet, Circular, Organizer. Which word comes last?",easy,"In alphabetical order: Bataan, Cabinet, Circular, Organizer. The last word is Organizer.",Circular,Bataan,Cabinet,Organizer,,D
Clerical Ability,"Arrange alphabetically: Cavite, Scanner, Bulacan, Aklan. Which word comes last?",easy,"In alphabetical order: Aklan, Bulacan, Cavite, Scanner. The last word is Scanner.",Cavite,Scanner,Bulacan,Aklan,,B
Clerical Ability,"Arrange alphabetically: Tape, Eraser, Glue, Clipboard. Which word comes last?",easy,"In alphabetical order: Clipboard, Eraser, Glue, Tape. The last word is Tape.",Eraser,Glue,Tape,Clipboard,,C
Clerical Ability,"Arrange alphabetically: Heron, Leyte, Banana, Tape. Which word comes last?",easy,"In alphabetical order: Banana, Heron, Leyte, Tape. The last word is Tape.",Banana,Heron,Leyte,Tape,,D
Clerical Ability,"Arrange alphabetically: Pencil, Tarlac, Kingfisher, Falcon. Which word comes last?",easy,"In alphabetical order: Falcon, Kingfisher, Pencil, Tarlac. The last word is Tarlac.",Falcon,Pencil,Tarlac,Kingfisher,,C
Clerical Ability,"Arrange alphabetically: Durian, Circular, Falcon, Bulacan. Which word comes second?",easy,"In alphabetical order: Bulacan, Circular, Durian, Falcon. The second word is Circular.",Bulacan,Durian,Falcon,Circular,,D
Clerical Ability,"Arrange alphabetically: Manila, Mango, Voucher, Marker. Which word comes second?",easy,"In alphabetical order: Mango, Manila, Marker, Voucher. The second word is Manila.",Mango,Voucher,Marker,Manila,,D
Clerical Ability,"Arrange alphabetically: Samar, Rizal, Stapler, Lychee. Which word comes third?",easy,"In alphabetical order: Lychee, Rizal, Samar, Stapler. The third word is Samar.",Stapler,Samar,Lychee,Rizal,,B
Clerical Ability,"Arrange alphabetically: Calculator, Scissors, Quezon, Zambales. Which word comes last?",easy,"In alphabetical order: Calculator, Quezon, Scissors, Zambales. The last word is Zambales.",Calculator,Quezon,Scissors,Zambales,,D
Clerical Ability,"Arrange alphabetically: Quezon, Mynah, Kingfisher, Circular. Which word comes second?",easy,"In alphabetical order: Circular, Kingfisher, Mynah, Quezon. The second word is Kingfisher.",Quezon,Circular,Mynah,Kingfisher,,D
Clerical Ability,"Arrange alphabetically: Printer, Cabinet, Bulletin, Memo. Which word comes second?",easy,"In alphabetical order: Bulletin, Cabinet, Memo, Printer. The second word is Cabinet.",Printer,Cabinet,Bulletin,Memo,,B
Clerical Ability,"Arrange alphabetically: Durian, Rooster, Drawer, Circular. Which word comes third?",easy,"In alphabetical order: Circular, Drawer, Durian, Rooster. The third word is Durian.",Drawer,Circular,Durian,Rooster,,C
Clerical Ability,"Arrange alphabetically: Punch, Sparrow, Palawan, Bulacan. Which word comes third?",easy,"In alphabetical order: Bulacan, Palawan, Punch, Sparrow. The third word is Punch.",Bulacan,Sparrow,Palawan,Punch,,D
Clerical Ability,"Arrange alphabetically: Quezon, Eagle, Aklan, Heron. Which word comes last?",easy,"In alphabetical order: Aklan, Eagle, Heron, Quezon. The last word is Quezon.",Aklan,Eagle,Heron,Quezon,,D
Clerical Ability,"Arrange alphabetically: Pencil, Papaya, Cebu, Cavite. Which word comes first?",easy,"In alphabetical order: Cavite, Cebu, Papaya, Pencil. The first word is Cavite.",Cebu,Pencil,Papaya,Cavite,,D
Clerical Ability,"Arrange alphabetically: Organizer, Scanner, Manila, Heron. Which word comes second?",easy,"In alphabetical order: Heron, Manila, Organizer, Scanner. The second word is Manila.",Organizer,Manila,Scanner,Heron,,B
Clerical Ability,"Arrange alphabetically: Calendar, Heron, Pomelo, Capiz. Which word comes third?",easy,"In alphabetical order: Calendar, Capiz, Heron, Pomelo. The third word is Heron.",Capiz,Calendar,Pomelo,Heron,,D
Clerical Ability,"Arrange alphabetically: Kingfisher, Falcon, Leyte, Laguna. Which word comes last?",easy,"In alphabetical order: Falcon, Kingfisher, Laguna, Leyte. The last word is Leyte.",Leyte,Laguna,Falcon,Kingfisher,,A
Clerical Ability,"Arrange alphabetically: Notice, Durian, Scanner, Oriole. Which word comes last?",easy,"In alphabetical order: Durian, Notice, Oriole, Scanner. The last word is Scanner.",Durian,Notice,Scanner,Oriole,,C
Clerical Ability,"Arrange alphabetically: Notebook, Iloilo, Leyte, Aklan. Which word comes second?",easy,"In alphabetical order: Aklan, Iloilo, Leyte, Notebook. The second word is Iloilo.",Iloilo,Aklan,Notebook,Leyte,,A
Clerical Ability,"Arrange alphabetically: Lychee, Pencil, Invoice, Quezon. Which word comes first?",easy,"In alphabetical order: Invoice, Lychee, Pencil, Quezon. The first word is Invoice.",Lychee,Quezon,Pencil,Invoice,,D
Clerical Ability,"Arrange alphabetically: Calculator, Sparrow, Highlighter, Aklan. Which word comes second?",easy,"In alphabetical order: Aklan, Calculator, Highlighter, Sparrow. The second word is Calculator.",Aklan,Highlighter,Calculator,Sparrow,,C
Clerical Ability,"Arrange alphabetically: Voucher, Folder, Calculator, Guava. Which word comes first?",easy,"In alphabetical order: Calculator, Folder, Guava, Voucher. The first word is Calculator.",Calculator,Folder,Guava,Voucher,,A
Clerical Ability,"Arrange alphabetically: Notice, Zambales, Marker, Manila. Which word comes second?",easy,"In alphabetical order: Manila, Marker, Notice, Zambales. The second word is Marker.",Zambales,Manila,Marker,Notice,,C
Clerical Ability,"Look at this series: K17, L19, M21, N23, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 2 each time, giving O25.",N28,P26,N24,O25,,D
Clerical Ability,"Look at this series: K9, M11, O13, Q15, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 2 each time, giving S17.",S17,R15,R20,S18,,A
Clerical Ability,"Look at this series: K17, L20, M23, N26, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 3 each time, giving O29.",O29,O30,P32,O31,,A
Clerical Ability,"Look at this series: K5, M7, O9, Q11, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 2 each time, giving S13.",S14,T12,R11,S13,,D
Clerical Ability,"Look at this series: U10, V12, W14, X16, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 2 each time, giving Y18.",Y19,X20,Y21,Y18,,D
Clerical Ability,"Look at this series: N13, O14, P15, Q16, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving R17.",R20,Q16,S15,R17,,D
Clerical Ability,"Look at this series: D5, F6, H7, J8, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 1 each time, giving L9.",M11,K12,L9,K10,,C
Clerical Ability,"Look at this series: F17, H18, J19, L20, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 1 each time, giving N21.",N22,O19,N21,O23,,C
Clerical Ability,"Look at this series: E13, F14, G15, H16, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving I17.",I19,H20,I17,H16,,C
Clerical Ability,"Look at this series: B10, C12, D14, E16, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 2 each time, giving F18.",E20,F20,E17,F18,,D
Clerical Ability,"Look at this series: D16, F17, H18, J19, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 1 each time, giving L20.",M23,L18,L22,L20,,D
Clerical Ability,"Look at this series: L14, N16, P18, R20, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 2 each time, giving T22.",S25,T20,T25,T22,,D
Clerical Ability,"Look at this series: A16, B17, C18, D19, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving E20.",D22,E20,F18,D18,,B
Clerical Ability,"Look at this series: Q11, R14, S17, T20, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 3 each time, giving U23.",T22,V21,U23,V26,,C
Clerical Ability,"Look at this series: A1, C4, E7, G10, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 3 each time, giving I13.",H14,I13,H11,J11,,B
Clerical Ability,"Look at this series: N7, O9, P11, Q13, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 2 each time, giving R15.",Q13,R15,R13,S13,,B
Clerical Ability,"Look at this series: R18, S19, T20, U21, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving V22.",V22,W21,W23,U20,,A
Clerical Ability,"Look at this series: B4, D5, F6, H7, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 1 each time, giving J8.",K11,J8,K9,I11,,B
Clerical Ability,"Look at this series: O18, P19, Q20, R21, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving S22.",S22,R23,R24,R21,,A
Clerical Ability,"Look at this series: H13, J15, L17, N19, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 2 each time, giving P21.",P24,P22,O23,P21,,D
Clerical Ability,"Look at this series: O15, P16, Q17, R18, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving S19.",R21,T20,S17,S19,,D
Clerical Ability,"Look at this series: S9, U12, W15, Y18, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 3 each time, giving A21.",Z23,B24,A21,Z20,,C
Clerical Ability,"Look at this series: N5, P6, R7, T8, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 1 each time, giving V9.",V9,U7,W12,U12,,A
Clerical Ability,"Look at this series: R19, T21, V23, X25, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 2 each time, giving Z27.",Z27,Y29,Z25,Z29,,A
Clerical Ability,"Look at this series: C18, D21, E24, F27, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 3 each time, giving G30.",G30,H32,F33,G29,,A
Clerical Ability,"Look at this series: H16, J19, L22, N25, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 3 each time, giving P28.",P27,P28,O29,O30,,B
Clerical Ability,"Look at this series: N11, O12, P13, Q14, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving R15.",S17,S16,R15,Q18,,C
Clerical Ability,"Look at this series: N14, O16, P18, Q20, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 2 each time, giving R22.",S24,Q21,S20,R22,,D
Clerical Ability,"Look at this series: F2, H5, J8, L11, ?. What comes next?",medium,"The letter advances by 2 and the number increases by 3 each time, giving N14.",M16,O17,N14,N16,,C
Clerical Ability,"Look at this series: A12, B13, C14, D15, ?. What comes next?",medium,"The letter advances by 1 and the number increases by 1 each time, giving E16.",E16,E17,D15,F15,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""715-3D5-87""?",medium,"Only ""715-3D5-87"" matches the master record character for character; the others differ by at least one character.",715-3D5-87,715-SD5-87,7K5-3D5-87,715-3D9-87,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""G37-UZK-47""?",medium,"Only ""G37-UZK-47"" matches the master record character for character; the others differ by at least one character.",Z37-BZK-47,G37-UZC-46,GT7-UZK-47,G37-UZK-47,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""476-KMG-17""?",medium,"Only ""476-KMG-17"" matches the master record character for character; the others differ by at least one character.",G7F-KMG-17,476-KW2-17,V76-KM0-17,476-KMG-17,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""RDD-DTR-31""?",medium,"Only ""RDD-DTR-31"" matches the master record character for character; the others differ by at least one character.",RBD-DTR-31,RDD-DTR-31,RQD-DTR-31,RDD-DTG-31,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""Y3U-T3T-84""?",medium,"Only ""Y3U-T3T-84"" matches the master record character for character; the others differ by at least one character.",Y3U-T3T-D4,Y3U-T3T-84,Y3U-93T-U4,Y3U-T35-83,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""40M-CD4-53""?",medium,"Only ""40M-CD4-53"" matches the master record character for character; the others differ by at least one character.",4EM-CD4-53,40M-CD4-53,D0M-CD4-5G,40M-CD2-53,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""1SP-5E0-45""?",medium,"Only ""1SP-5E0-45"" matches the master record character for character; the others differ by at least one character.",1SP-GE0-45,1SP-5E0-45,1SP-YE0-45,1SP-5R0-4C,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""CQU-0LC-86""?",medium,"Only ""CQU-0LC-86"" matches the master record character for character; the others differ by at least one character.",CQ1-0LC-86,CQU-ELC-N6,CQU-0LC-86,CQU-SLC-86,,C
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""E7A-S4P-52""?",medium,"Only ""E7A-S4P-52"" matches the master record character for character; the others differ by at least one character.",47A-S4P-52,E7A-S4G-H2,E7A-S4P-52,ETA-S4P-52,,C
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""N2W-USG-78""?",medium,"Only ""N2W-USG-78"" matches the master record character for character; the others differ by at least one character.",N2W-USG-78,N1W-USG-78,N2W-UCG-78,N2W-J4G-78,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""FGV-0NG-34""?",medium,"Only ""FGV-0NG-34"" matches the master record character for character; the others differ by at least one character.",FGV-0EG-34,FGV-0NG-34,F7V-0NG-3N,FGV-0NG-3Q,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""61T-RTM-56""?",medium,"Only ""61T-RTM-56"" matches the master record character for character; the others differ by at least one character.",61T-RTM-56,61T-RVM-66,615-RTM-H6,81T-RTM-53,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""BAC-L0L-92""?",medium,"Only ""BAC-L0L-92"" matches the master record character for character; the others differ by at least one character.",BAC-L0F-92,BAC-X0L-92,BAC-L0L-92,BAC-L0L-02,,C
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""DUJ-XK6-19""?",medium,"Only ""DUJ-XK6-19"" matches the master record character for character; the others differ by at least one character.",DUJ-XKA-19,DUJ-XK6-19,KUJ-X26-19,DXJ-XK6-19,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""9J2-PLD-28""?",medium,"Only ""9J2-PLD-28"" matches the master record character for character; the others differ by at least one character.",9J2-DLD-28,9B2-6LD-28,9J2-PLD-28,9J2-0LD-28,,C
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""A65-N6G-29""?",medium,"Only ""A65-N6G-29"" matches the master record character for character; the others differ by at least one character.",A65-H6G-29,L65-Z6G-29,A65-Y6G-29,A65-N6G-29,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""D21-BVH-27""?",medium,"Only ""D21-BVH-27"" matches the master record character for character; the others differ by at least one character.",D21-BVH-27,D25-BYH-27,D21-GVH-27,D21-BVH-2Q,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""YGX-FPY-87""?",medium,"Only ""YGX-FPY-87"" matches the master record character for character; the others differ by at least one character.",YGX-FPY-87,7GX-FPY-87,YGX-JP0-87,YGX-FP1-87,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""3Z1-RPB-15""?",medium,"Only ""3Z1-RPB-15"" matches the master record character for character; the others differ by at least one character.",3Z1-RPB-15,3Z1-RP9-15,3Z1-RLB-15,3Z1-YPB-15,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""ERJ-ZQJ-29""?",medium,"Only ""ERJ-ZQJ-29"" matches the master record character for character; the others differ by at least one character.",ERJ-CZJ-29,ERL-ZQJ-29,ERJ-UQJ-29,ERJ-ZQJ-29,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""PDP-ADB-84""?",medium,"Only ""PDP-ADB-84"" matches the master record character for character; the others differ by at least one character.",MDP-ADB-8D,PDA-ADB-N4,7DP-ADJ-84,PDP-ADB-84,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""AD8-B15-53""?",medium,"Only ""AD8-B15-53"" matches the master record character for character; the others differ by at least one character.",AD8-BC5-S3,AD8-B1H-53,AD4-B15-53,AD8-B15-53,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""D5V-QYQ-10""?",medium,"Only ""D5V-QYQ-10"" matches the master record character for character; the others differ by at least one character.",D5V-QYQ-B0,D5V-QYQ-10,L5V-QYQ-10,R5V-QYQ-10,,B
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""E56-UZ2-82""?",medium,"Only ""E56-UZ2-82"" matches the master record character for character; the others differ by at least one character.",E56-TZE-82,E56-UZB-C2,E56-UZ2-82,E5H-UZ2-82,,C
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""R7H-QTT-76""?",medium,"Only ""R7H-QTT-76"" matches the master record character for character; the others differ by at least one character.",R7H-QTT-76,R7H-QTT-71,R7V-QTT-76,R7H-QTT-79,,A
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""9HV-547-96""?",medium,"Only ""9HV-547-96"" matches the master record character for character; the others differ by at least one character.",9HV-547-K6,9HV-5J7-96,9HV-547-96,9HV-54W-M6,,C
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""TN5-7DV-70""?",medium,"Only ""TN5-7DV-70"" matches the master record character for character; the others differ by at least one character.",CN5-7DV-70,TN5-10V-70,TNP-7DV-70,TN5-7DV-70,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""4ER-9W4-16""?",medium,"Only ""4ER-9W4-16"" matches the master record character for character; the others differ by at least one character.",GER-9W4-1M,4ES-RW4-16,4SL-9W4-16,4ER-9W4-16,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""9LV-6VS-40""?",medium,"Only ""9LV-6VS-40"" matches the master record character for character; the others differ by at least one character.",9LV-6VS-N6,9L8-6VS-40,9LA-6VS-40,9LV-6VS-40,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""K3G-P3K-89""?",medium,"Only ""K3G-P3K-89"" matches the master record character for character; the others differ by at least one character.",K3G-93K-89,KYG-P3K-8N,KYG-P3K-89,K3G-P3K-89,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""XVS-ZAL-15""?",medium,"Only ""XVS-ZAL-15"" matches the master record character for character; the others differ by at least one character.",XVS-ZAZ-F5,KVS-ZAL-15,AVS-ZAL-15,XVS-ZAL-15,,D
Clerical Ability,"Which of the following codes is EXACTLY the same as this master record: ""FKQ-2XZ-55""?",medium,"Only ""FKQ-2XZ-55"" matches the master record character for character; the others differ by at least one character.",FKQ-2XB-55,FKQ-2XZ-55,FKB-2XZ-5N,FK0-2XZ-M5,,B
